Count   conc:1  conc-par:1  conc-smp   conc-par-2   conc-par-4

1     703       726         701        742          723
2     1422      1437        1421       1075         1071
3     2133      2165        2160       1435         1442
4     17811     17827       18796      17012        16818
5     18556     18587       19597      17739        17443
6     19225     19264       19893      17605        18902
7     19997     19923       20590      18235        17765
8     20677     20741       25631      18672        21163
9     21179     21337       21845      18906        17732
10    31569     31597       34645      20715        21172
11    33945     34111       37527      24737        22575
12    34612     34854       35198      23598        21569
13    35490     35695       36787      24029        21925
14    45847     46128       48834      28668        20051
15    46628     46765       47533      26245        21063
16    47416     47586       50516      29824        20199
17    48008     48177       49390      29063        27529
18    48824     48929       50960      30742        20586
19    64388     64603       67090      38306        29189
20    65314     65408       66990      35432        26113
21    65892     65958       70742      38814        23949
22    66419     66664       67916      39598        26618
23    66979     67482       69113      38657        31063
24    67563     68036       72310      42535        27657
25    78952     79350       80911      45752        31920
26    79647     79883       81492      44369        27294
27    80266     80579       82152      46151        31776
28    80966     81214       82607      44676        31965
29    81748     81974       83484      44617        33071
30    82525     83335       84206      45553        34728
31    83126     83476       85009      47062        33727
32    83756     84197       85919      49292        34082
33    84613     84993       89377      48882        33661
34    85115     85582       90074      49877        32435
35    108745    109807      113362     61607        42914
36    119964    122169      123059     73314        46077
37    120549    121640      123815     70243        48551
38    120936    122330      124721     76478        53600
39    121663    122948      124786     68997        49289
40    122396    123589      125581     69997        42919
41    122910    124016      126278     73693        50483
42    123647    124787      126933     68001        50677
43    124345    125624      127626     73782        46230
44    127078    128466      130451     74077        48826
45    127965    130115      131089     73378        46288
46    128441    129880      131681     76044        46284
47    129199    130435      133128     71503        47924
48    129811    131441      133111     77756        45924
49    130610    132738      134847     75034        48323
50    134034    135625      137148     79954        51877
51    134804    136241      139717     77124        48698
52    135389    136867      139308     76483        47806
53    136265    138868      140075     74455        55112
54    151054    152869      150951     84443        58498
55    151645    153818      152448     86323        57428
56    152392    154299      153611     86512        55367
57    153180    155307      154452     91337        58381
58    153882    155813      154498     86827        54125
59    154463    156555      155173     89308        58901
60    166608    169289      167317     93945        63701
61    167402    169729      168551     98956        54289
62    168143    170402      171332     93660        58332
63    168840    171487      169285     96962        54185
64    169635    171936      171219     96222        57206
65    170425    172555      171063     95621        57306
66    171088    173569      172052     98003        60281
67    171830    174111      172653     97044        59773
68    172246    174663      173486     94834        56557
69    172917    175457      173667     94714        62201
70    173534    175995      176398     95803        61375
71    174265    176621      174824     100613       58139
72    175196    177863      176188     105243       65204
73    176282    178840      177017     101506       63718
74    176586    178851      177595     105339       61448
75    177143    180234      179271     103060       60003
76    178785    181744      184835     97849        60707
77    179510    182413      180299     102664       60744
78    180477    183011      181790     103532       57461
79    180914    183561      182640     108415       70639
80    181552    184483      183079     106232       64474
81    182293    185226      185533     107010       62160
82    183054    185568      183268     101272       59777
83    183706    186513      186207     101863       65697
84    187850    191212      194529     108825       64132
85    188583    191537      190705     106592       65897
86    189439    192361      194586     110532       64052
87    190054    193332      190082     113898       59721
88    190801    193974      193442     108004       67849
89    191719    194815      195774     111738       64228
90    192695    195690      196453     111364       64082
91    192926    195896      194181     113614       63868
92    193835    196809      194470     110744       65677
93    194196    198320      197576     114418       62219
94    196022    203842      206707     109031       65850
